feature,base_entropy,expected_entropy,IG,cost,IG_per_cost,num_values,numeric,categories_or_bins,max_dismissal_rate,avg_dismissal_rate,best_dismissal_value
MATERIAL.CONSIDERED_IN_CALCULATION,103.20674216000988,103.19474073068693,0.01200142932295023,0.25,0.04800571729180092,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
BOARD.HAS_FIXING_ELEMENTS,103.20674216000988,103.19478719848408,0.011954961525802332,0.25,0.04781984610320933,2,True,"[(None, 1.0), (1.0, None)]",0.0049261083743842365,0.0049261083743842365,≤1.0
AREA.IS_SUBSIDIARY_USE,103.20674216000988,103.19484953576938,0.011892624240502414,0.25,0.047570496962009656,2,True,"[(None, 1.0), (1.0, None)]",0.0,0.0,≤1.0
BUILDING.INDEPENDENCE_VESTIBULE,103.20674216000988,103.1948908165885,0.011851343421383831,0.25,0.047405373685535324,2,False,"['EXISTS', 'NOT_EXISTS']",0.0,0.0,EXISTS
KITCHEN.IS_SPECIAL_RISK_PREMISE,103.20674216000988,103.19492875171717,0.011813408292709937,0.25,0.04725363317083975,2,True,"[(None, 1.0), (1.0, None)]",0.019704433497536946,0.019704433497536946,≤1.0
FLOOR.EXIT.ORIGIN.AREA.USAGE,103.20674216000988,103.19526100157292,0.011481158436964733,0.25,0.045924633747858934,2,False,"['HOSPITALIZATION', 'INTENSIVE_CARE']",0.0,0.0,HOSPITALIZATION
FLOOR.HAS_MORE_THAN_ONE_EXIT,103.20674216000988,103.1953386119743,0.011403548035588074,0.25,0.045614192142352294,2,True,"[(None, 1.0), (1.0, None)]",0.007389162561576354,0.007389162561576354,≤1.0
AREA.IS_HIGH_SPECIAL_RISK_ZONE,103.20674216000988,103.19545109664588,0.011291063363998433,0.25,0.04516425345599373,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
SPACE.HAS_HIDDEN_SPACES,103.20674216000988,103.19558979517069,0.01115236483919091,0.25,0.04460945935676364,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
EVACUATION.ROUTE.ORIGIN,103.20674216000988,103.19559023269969,0.011151927310194765,0.25,0.04460770924077906,2,False,"['HABITABLE.AREA', 'PARKING.AREA']",0.0,0.0,HABITABLE.AREA
EVACUATION.HEIGHT.ASCENDING,103.20674216000988,103.1957881499572,0.010954010052685703,0.25,0.04381604021074281,2,True,"[(None, 2.0), (2.0, None)]",0.0,0.0,≤2.0
ELEMENT.EXPOSED_TO_FIRE,103.20674216000988,103.19579015306526,0.010952006944620507,0.25,0.04380802777848203,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
WOOD.CONNECTION.FASTENER.SEPARATION.MEETS_REQUIREMENTS,103.20674216000988,103.19661606217602,0.010126097833861536,0.25,0.040504391335446144,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
BUILDING.ELEMENT.ROOF.AREA.DISTANCE_TO.BUILDING.ELEMENT.FACADE.VERTICAL_PROJECTION,103.20674216000988,103.19673018722159,0.010011972788291246,0.25,0.04004789115316498,2,True,"[(None, 5.0), (5.0, None)]",0.0024630541871921183,0.0012315270935960591,>5.0
PENETRATION.CROSS_SECTION,103.20674216000988,103.19673345201316,0.010008707996718158,0.25,0.04003483198687263,2,True,"[(None, 50.0), (50.0, None)]",0.0024630541871921183,0.0012315270935960591,≤50.0
ESTABLISHMENT.COMPLIES_WITH_DB_SECTION_1_CHAPTER_1_FIRE_SECTOR_EXEMPTION,103.20674216000988,103.19689537870607,0.009846781303807006,0.25,0.039387125215228025,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
MATERIAL.COVERAGE.PERCENTAGE,103.20674216000988,103.19762813585413,0.00911402415574969,0.25,0.03645609662299876,2,True,"[(None, 10.0), (10.0, None)]",0.0024630541871921183,0.0012315270935960591,≤10.0
SCENARIO.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['FIRE'],0.0,0.0,FIRE
ROOF.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['LIGHT'],0.0,0.0,LIGHT
